symbol,clock,band,n,n_dates,ic_ridge,ic_rv20,ic_ewma,ic_park,ic_gk,ic_absr
INJUSDT,H1,DESIGN,1212,85,0.15972128049945533,0.13970555702603982,0.14273511197923772,0.1461127040337415,0.16271973272862436,0.07643796926461062
INJUSDT,H1,CONFIRM,6931,292,0.3561750449817207,0.3231598028048795,0.33751586368123176,0.322143280656097,0.3227946855182428,0.19284395039381855
INJUSDT,H4,DESIGN,293,65,-0.004244981923762071,0.017648781893420326,0.04812840092322871,-0.003297517987979708,-0.018065265285131308,0.049388823742129516
INJUSDT,H4,CONFIRM,1733,292,0.35678189099491914,0.35568835204075605,0.3673417890089671,0.3243518598421223,0.32617061859942587,0.1924400060493204
INJUSDT,D1,DESIGN,41,41,0.04407665505226482,-0.02282229965156795,-0.07473867595818817,0.09634146341463416,0.02177700348432056,0.24320557491289202
INJUSDT,D1,CONFIRM,286,286,-0.2164503019445253,0.3154778469284246,0.32112457503985103,0.26838245195112975,0.2656247475246191,0.1211371427032531
BNBUSDT,H1,DESIGN,2328,99,0.3303549273603149,0.28434436606032043,0.3052986034216447,0.30901088170133834,0.30710608133698897,0.20373043339821573
BNBUSDT,H1,CONFIRM,6453,292,0.3263345546615591,0.3048501695745733,0.3090976797223876,0.2987646444271938,0.3028381792924667,0.1667687081941339
BNBUSDT,H4,DESIGN,587,100,0.25901776205388555,0.21996041756214874,0.22953910486057322,0.25081123567357494,0.2566758858982637,0.1099451815767015
BNBUSDT,H4,CONFIRM,1634,292,0.31418681983603547,0.2614792444911823,0.28199224115621535,0.27741988796248823,0.28031827572902196,0.1824790890268873
BNBUSDT,D1,DESIGN,100,100,0.17156915691569155,-0.1908190819081908,-0.03373537353735374,0.2438283828382838,0.22486648664866482,0.17864986498649862
BNBUSDT,D1,CONFIRM,265,265,0.17160402236424574,0.08213159897974318,0.12240747314496349,0.18772140075363078,0.16820637621274565,0.11194146426707881
DYDXUSDT,H1,DESIGN,1480,91,0.1785785539155977,0.1769714714927523,0.1771969975850201,0.1507909977192751,0.14687689919009067,0.1137770553628824
DYDXUSDT,H1,CONFIRM,6351,292,0.32701469704373554,0.27947605477440973,0.2972942915491484,0.2952006496099242,0.30281978520289154,0.1578078119857143
DYDXUSDT,H4,DESIGN,362,83,-0.005724786043657569,0.04945797864597228,0.07684957034863657,0.07605740602304917,0.07035652133179733,-0.016763910302958072
DYDXUSDT,H4,CONFIRM,1605,290,0.30120170308997246,0.284305412645929,0.29449503650919967,0.23052716720968403,0.23174168660556743,0.12874002479459734
DYDXUSDT,D1,DESIGN,65,65,-0.14488636363636365,0.1743444055944056,0.07268356643356642,-0.022727272727272728,-0.030244755244755242,0.11503496503496505
DYDXUSDT,D1,CONFIRM,265,265,0.3152245966545868,0.20537729400688687,0.23902810198738705,0.33604030488533715,0.3514547518023189,0.17722632759423354
GALAUSDT,H1,DESIGN,2010,99,0.29488558604382664,0.26449147199771555,0.27929252000967886,0.27891919323335745,0.2841227658348606,0.14120457558997632
GALAUSDT,H1,CONFIRM,6827,292,0.3257246142810153,0.2948759000910675,0.3053430473074302,0.29362676254215525,0.29773174752186304,0.16826916601452072
GALAUSDT,H4,DESIGN,504,96,0.2505453139462952,0.2370072994411443,0.23989989337897633,0.22241291637865807,0.22074512882402922,0.07142487233005206
GALAUSDT,H4,CONFIRM,1715,292,0.2885175484915379,0.2511179801170422,0.2699944847748296,0.26933668807101785,0.2752435405128943,0.15082373167608346
GALAUSDT,D1,DESIGN,87,87,0.09141940657578186,0.1501786104833418,0.26414303419114965,0.19078515710432306,0.19581541153313406,0.08657140774221768
GALAUSDT,D1,CONFIRM,286,286,0.2864875817379026,0.1764281931162547,0.23306783075717605,0.2888690627561247,0.29456115130056076,0.17485903057148242
OPUSDT,H1,DESIGN,2358,101,0.3248697859179248,0.28829144164429227,0.3099413648826773,0.2845335230612241,0.2853906739915249,0.165728009531779
OPUSDT,H1,CONFIRM,6986,292,0.3231050615441644,0.27933872461365367,0.2932229999604015,0.2999047025955143,0.3040865037425801,0.16660696200426264
OPUSDT,H4,DESIGN,591,102,0.2481401951184307,0.21867252690193328,0.23310069958418742,0.23426344300627844,0.24233765649797437,0.13795452207597395
OPUSDT,H4,CONFIRM,1746,292,0.2883169846694158,0.23647697520415709,0.2597803231003619,0.26134023308549015,0.2586003648861289,0.14214151624757912
OPUSDT,D1,DESIGN,96,96,0.09309549647314162,0.12392837764514379,0.1172680412371134,0.16007867607162235,0.19321758003255565,0.08946011937059142
OPUSDT,D1,CONFIRM,288,288,0.13502294748602456,0.1686313693339603,0.18220796209445045,0.18593039798415784,0.2116699621024881,0.055919426594167085
