symbol,clock,band,n,ic_absr_1bar,ic_park_1bar,ic_gk_1bar,ic_rv20_cc20,ic_park20,ic_gk20,ic_absr20,ic_ewma
1000BONKUSDT,H4,CONFIRM,853,0.15087837531426118,0.3092615866952325,0.3111302838230646,0.28627782146147257,0.31807731744426926,0.312737974857711,0.2934636261549937,0.2925702268201617
1000BONKUSDT,D1,CONFIRM,139,0.05929239228429551,0.21231112272917185,0.22246550612810043,0.2205775733697848,0.24880243211793893,0.2551952482732652,0.19421174076656256,0.22389541969652882
DOGEUSDT,H1,DESIGN,3694,0.2502154639921291,0.3488744762127719,0.346178995098974,0.31784736920622886,0.3350082703258346,0.3324070436931008,0.3316319561912553,0.3302985467364788
DOGEUSDT,H1,CONFIRM,6931,0.24058710582512421,0.3754206019658718,0.37312300066755527,0.344976236960647,0.3666643278632324,0.36564998660441267,0.3550332569776803,0.3591682670715631
DOGEUSDT,H4,DESIGN,923,0.16982737825615027,0.3025969649298085,0.30562812364871367,0.2973359171355499,0.30125747372209,0.29959302614427363,0.3015479518534603,0.28714697657947214
DOGEUSDT,H4,CONFIRM,1734,0.2128249512638282,0.3494837893796298,0.3511111202306579,0.32484265882347674,0.3506153415327793,0.3470700839884841,0.3487486032654073,0.33555008089468735
DOGEUSDT,D1,DESIGN,151,0.23921226908330426,0.24300104566050884,0.241111885674451,0.18639944231439526,0.25114660349694495,0.2518457837863221,0.20017427329600893,0.2025932380620425
DOGEUSDT,D1,CONFIRM,286,0.23891801110776542,0.35721433344759945,0.36030469662618764,0.19517635062964805,0.24884221005130472,0.2452669036229245,0.22440706165575552,0.189358034694195
XRPUSDT,H1,DESIGN,4043,0.21506671022001903,0.33234248179152637,0.32921372694701917,0.32226551441095147,0.33691105196676563,0.3334167077328411,0.3266670070455835,0.32458674146436034
XRPUSDT,H1,CONFIRM,7002,0.18892611699720535,0.32289780822189446,0.3242613606539748,0.3290732558776446,0.33763285516425073,0.33499136652538924,0.3305632800887057,0.3290092912823798
XRPUSDT,H4,DESIGN,1010,0.20244909602974112,0.291720795743849,0.2892474502157791,0.26793526748292706,0.28802245801278664,0.2910125318811945,0.26460770931821226,0.29276088701579006
XRPUSDT,H4,CONFIRM,1748,0.17676286220942153,0.2790816097192941,0.2762888769240452,0.2099771518158228,0.23124787301630165,0.22975043740214204,0.2166126310907452,0.2288085380940406
XRPUSDT,D1,DESIGN,167,0.1644723662436868,0.24527466921240235,0.23948503991486716,0.17453014014797194,0.08894754230962758,0.09532764423948623,0.05417811534345574,0.16968483623430264
XRPUSDT,D1,CONFIRM,289,0.18425657542066715,0.15225808376088773,0.12697321322037944,0.025908304498269898,0.026593567050912138,0.018870857853559946,0.03908451723922443,0.025043749751421866
LINKUSDT,H1,DESIGN,3939,0.1217244728254897,0.26513364162819647,0.26773277137071105,0.23642354787082778,0.25820797052345085,0.2560546881626059,0.24713561427219385,0.25248896314652036
LINKUSDT,H1,CONFIRM,6866,0.16104374899483498,0.30568775560179706,0.31176496162460116,0.29421069923311544,0.316683705053873,0.3147249828152204,0.30446931478394484,0.3042825705650838
LINKUSDT,H4,DESIGN,986,0.13162578898948787,0.26281006231090637,0.25499663749377915,0.2435144461957153,0.2475666905184586,0.24838514385597668,0.2340148165302136,0.25258225778268817
LINKUSDT,H4,CONFIRM,1726,0.15304921308092542,0.2602385284062408,0.2634454469304628,0.24437524824003298,0.2748676584300003,0.2734561608166258,0.2598548171126161,0.2725687603747912
LINKUSDT,D1,DESIGN,163,0.09273668401305689,0.1160046774291874,0.10538901912536507,0.0805387910729823,0.1147255043806768,0.13443051201671893,0.039619001687967205,0.06259109625861085
LINKUSDT,D1,CONFIRM,285,0.08035168246249327,0.2202105444865348,0.2326660298312198,0.12157569730177044,0.1321035467782596,0.1172390564984221,0.12399593280359197,0.11868777684166264
ADAUSDT,H1,DESIGN,3959,0.17801027730317587,0.27669261473454154,0.2714547568228627,0.2571346754661298,0.2682836842881205,0.2646340379977049,0.26016494332977197,0.2712891431106207
ADAUSDT,H1,CONFIRM,6896,0.21098312455303764,0.3489363103012245,0.3528422669636392,0.3407453441626905,0.36763282685855997,0.36669070008738724,0.3538320615876184,0.3509183871082722
ADAUSDT,H4,DESIGN,995,0.13287944846470334,0.21790001036604525,0.2199952788654905,0.24076062827886344,0.25588849158935667,0.2530257141844028,0.2451828008384888,0.24201605797967637
ADAUSDT,H4,CONFIRM,1723,0.1969086012783007,0.31160624780956603,0.3069991497397217,0.307246698320663,0.32340239955178224,0.32112318092813397,0.31553455360749955,0.3210483891665014
ADAUSDT,D1,DESIGN,165,0.1615567557748576,0.2150776053215078,0.20307749846392226,0.04415622579007828,0.09636084948859092,0.10086472000231365,0.09175286552977356,-0.017081185050623785
ADAUSDT,D1,CONFIRM,284,0.17589943604345057,0.3211173307279047,0.3263503655370946,0.18915778472209488,0.24462141631952955,0.23611215001483127,0.2216239569764893,0.1730065720714467
BIGTIMEUSDT,H1,CONFIRM,151,0.040962007668177064,0.22118856744510276,0.2502439874520739,0.28040432206343674,0.316222548042556,0.3149337604942265,0.2906711609001685,0.2937713489020564
BLURUSDT,H1,CONFIRM,4793,0.1558438428805503,0.27582922053786635,0.278633268941268,0.24245725758588582,0.2709550697107252,0.26984136022655586,0.2557227322929268,0.25980458146096647
BLURUSDT,H4,CONFIRM,1191,0.11575514806008373,0.21188727048764586,0.217286140969654,0.23234713708478527,0.2528149295245409,0.25349546500882447,0.23275389571274752,0.2572346974993057
BLURUSDT,D1,CONFIRM,215,0.1343079213552639,0.24444323697746867,0.2607017798063223,0.2435328068777319,0.20451991808046924,0.20170692251910527,0.24316075512594734,0.20638267043396363
1000PEPEUSDT,H1,CONFIRM,4041,0.1780785322097726,0.2914941313868947,0.2920890219860404,0.2889044596199988,0.31068831934221586,0.3092378822790455,0.29783163606508867,0.3093681765587867
1000PEPEUSDT,H4,CONFIRM,1008,0.15043983698530494,0.24563663322162974,0.25552694612292887,0.24122821376733183,0.23043291772916055,0.2261331847893503,0.23237414260743344,0.260371544004712
1000PEPEUSDT,D1,CONFIRM,165,0.13634760772580345,0.1362273929420565,0.12197793390858336,0.01834477599978629,0.06412038599095757,0.055818302758042296,0.09927602595124022,0.010178185023909386
1000LUNCUSDT,H1,DESIGN,1698,0.14067151416623266,0.22541838704443123,0.22109781712210372,0.20659458948476994,0.17709829850497089,0.1687134326283084,0.19974200364198388,0.19363964817014068
1000LUNCUSDT,H1,CONFIRM,3662,0.1831218695062101,0.27953224999967463,0.2789628060486382,0.2838756764339176,0.2900588044357428,0.28384610806770466,0.29721945817639894,0.3025197575084585
1000LUNCUSDT,H4,DESIGN,417,0.1658145339816039,0.11952539856348862,0.10317791465780038,0.1044785165895887,-0.007404336190614302,-0.006968070418149315,0.04830349098787614,0.1446136458041589
1000LUNCUSDT,H4,CONFIRM,856,0.15992156856105136,0.23168604491597788,0.22863604324465928,0.28013695008547895,0.2669809041788287,0.26676616761782246,0.2774862466946661,0.2857238900041195
1000LUNCUSDT,D1,CONFIRM,174,0.015036883189662275,0.1791055315988856,0.19727110525422784,0.11918341591927438,0.07648003325711712,0.08872102794065909,0.10717355803358031,0.16195458979733812
MATICUSDT,H1,DESIGN,13086,0.21846839014069244,0.3480947655992366,0.34966290270542616,0.3607639461830876,0.3739517935521688,0.3715045011440562,0.36600236660963703,0.37558434406838986
MATICUSDT,H1,CONFIRM,6961,0.1971382878199715,0.3218610897498741,0.32107491434406693,0.30680094902033234,0.32493201028254226,0.323163574027535,0.3183490617352103,0.3113869334981792
