symbol,clock,band,n,frac_high_markov,frac_high_hmm,agreement,markov_high_rv20pct,hmm_high_rv20pct,markov_high_absrpct,hmm_high_absrpct,markov_high_parkpct,hmm_high_parkpct,auc_rv20_for_markov,auc_rv20_for_hmm,auc_absr_for_markov,auc_absr_for_hmm,mean_runlen_markov_high,mean_runlen_markov_low,mean_runlen_hmm_high,mean_runlen_hmm_low,gap_markov,gap_hmm,medgap_markov,medgap_hmm,mean_y,ic_markov_state,ic_hmm_state,y_HH,y_HL,y_LH,y_LL,n_HH,n_HL,n_LH,n_LL
LINKUSDT,H1,CONFIRM,6866,0.4962132245849112,0.10399067870667054,0.5681619574715991,0.649520003495143,0.8364371673516479,0.5512350089528841,0.8677149857904128,0.568712690438484,0.8984172608746382,0.796647685457546,0.8754027293622261,0.6015552389333628,0.9103106457147229,16.223809523809525,16.393364928909953,2.4878048780487805,21.36111111111111,9.5817919779387,38.53029235403554,5.785474132772308,32.22653970886668,52.83647357778241,0.08178633845951158,0.18217442829616215,86.51184575341313,51.76960805150653,90.96452261355974,46.32680845212912,578,2829,136,3323
LINKUSDT,H4,DESIGN,592,0.49324324324324326,0.11148648648648649,0.5844594594594594,0.6164672806368012,0.7580108517608519,0.5411363846723436,0.8416769041769041,0.5598765503517216,0.8328214578214579,0.728162100456621,0.7894342666205784,0.5795091324200913,0.8835983408226754,11.68,11.538461538461538,2.129032258064516,16.4375,-0.1628382976146554,30.38776190370453,-0.5646840367545707,14.392657165018804,102.84160064691154,0.001314737944379552,0.06191580824361133,120.78266812672211,98.48229791012639,NaN,100.24435787962776,56,236,10,290
LINKUSDT,H4,CONFIRM,1726,0.4942062572421784,0.14194669756662803,0.5805330243337196,0.651927828847541,0.7708562915316763,0.5552962823597174,0.9012225979615485,0.5699888200462141,0.8743207132215575,0.7998023282827672,0.8153261034325952,0.6087530164408617,0.9672587468478275,17.06,17.11764705882353,1.8014705882352942,10.81021897810219,24.35923521668431,54.09093123826257,17.397446008526884,37.22137880525223,104.53772078781097,0.09867811608965266,0.14577641503389624,156.68572322523733,105.67574215233698,132.4598686924618,89.65541003561123,187,666,58,815
LINKUSDT,D1,CONFIRM,285,0.5228070175438596,0.07017543859649122,0.5473684210526316,0.7070528670669962,0.853157894736842,0.5480042387848817,0.8240350877192982,0.5992464382432591,0.8873684210526316,0.9302210817212792,0.8779245283018868,0.5969206474536123,0.8466037735849057,29.8,27.2,2.5,29.444444444444443,48.426148328693955,107.6792238160429,50.54463919050286,86.7524024952632,286.5629559163932,0.09482098603844966,0.10134428172808861,386.6857429734155,297.73139284030526,NaN,261.2454257375321,20,129,0,136
ADAUSDT,H1,DESIGN,2376,0.4861111111111111,0.1271043771043771,0.5972222222222222,0.689284621102803,0.7797037705978103,0.5596569956418441,0.8924795694249339,0.57867928928535,0.8822203826342899,0.8679281406554133,0.8201910120252639,0.6156797884070612,0.9493883591869057,18.934426229508198,20.016393442622952,2.1884057971014492,15.028985507246377,9.614942759006304,34.27904150456092,7.795366597548316,21.53201428991835,46.61677053033198,0.10956805605931737,0.17112363704255873,78.09683445110495,44.2265530384999,69.04822545910359,40.73712570023677,250,905,52,1169
ADAUSDT,H1,CONFIRM,6896,0.4989849187935035,0.12688515081206497,0.5756960556844548,0.6535773573888237,0.8098497679814386,0.5585552082469416,0.9060065462379847,0.5754623345746764,0.8966413655949619,0.8063876864119617,0.8547955489121408,0.6167284272274702,0.9649262818231428,19.116666666666667,19.194444444444443,2.1186440677966103,14.543478260869565,14.228842363784473,42.46921886783206,8.145811466995227,26.171565389464526,47.81693246447448,0.11575467560760958,0.19677125817694818,88.04359294631902,46.56889681125861,72.74978462375265,38.956371695063424,695,2746,180,3275
ADAUSDT,H4,DESIGN,597,0.4455611390284757,0.20435510887772193,0.6582914572864321,0.7078941071271142,0.7000439355246176,0.5716867545748795,0.8144135980448692,0.5985378017909094,0.8001757420984704,0.8734525134588738,0.7503710094909405,0.6277854757740272,0.8941156169111303,11.565217391304348,13.791666666666666,2.3461538461538463,8.962264150943396,13.865217968594166,26.161355844847023,11.643632051339125,21.004864630838625,93.17978765751181,0.08293376485031816,0.1108186720100701,123.89211736723712,88.69311082782593,83.64358298034439,87.33670983487274,92,174,30,301
ADAUSDT,H4,CONFIRM,1723,0.4706906558328497,0.1485780615206036,0.6117237376668602,0.6636118432493436,0.7822407320081253,0.5713237814639537,0.9015876650464307,0.5979258641159393,0.8824021510446894,0.808556146840591,0.8311525434560327,0.6342005213403422,0.9713262078220859,15.901960784313726,17.88235294117647,2.064516129032258,11.830645161290322,33.92915315341594,87.8440956047149,20.336441510852012,51.7017789696117,96.35657064362178,0.14387669300898792,0.2177436843261467,181.49284513091803,92.47200334933213,135.0361015022955,76.74312421343336,199,612,57,855
ADAUSDT,D1,CONFIRM,284,0.4964788732394366,0.17253521126760563,0.5774647887323944,0.6880431525322147,0.6813020983041104,0.5627060233742883,0.8938631790744467,0.6068075117370891,0.8542684679505604,0.8699598274066359,0.7169778549717759,0.621038535932153,0.9738601823708206,20.142857142857142,23.833333333333332,1.96,9.4,64.56023844823844,91.35347728616466,49.57923240885842,104.65012500430527,238.44932476523599,0.18713497541663363,0.1766988530380073,347.4769418436793,245.69067389067123,230.45153230810806,203.78590995405872,35,106,14,129
1000LUNCUSDT,H1,DESIGN,1019,0.49362119725220804,0.07360157016683022,0.55053974484789,0.7092850161055259,0.7528099443899247,0.5472786441312869,0.9489434085704941,0.5915049448158937,0.8988943408570494,0.9123283554487032,0.7723658192090396,0.5923971673832971,0.9840819209039549,20.12,20.64,1.5625,19.26530612244898,25.9268557902236,55.42671504736617,16.271501108400244,33.20251349407055,81.41933083881314,0.11506034170424304,0.11640485451534703,140.21669758457705,88.36278348637614,102.96597280921034,67.5930011837788,60,443,15,501
