symbol,clock,design_dates,n_windows,design_ic_ridge,confirm_sub_ridge_p5,confirm_sub_ridge_med,confirm_sub_ridge_p95,design_below_p5_ridge,design_ic_rv20,confirm_sub_rv20_p5,confirm_sub_rv20_med,confirm_sub_rv20_p95,design_below_p5_rv20
DOGEUSDT,D1,91,196,0.105303392259914,0.20056139512661253,0.3181716833890747,0.4202142060837713,true,-0.0002707437490046186,-0.17770345596432552,0.058727504379678296,0.30172001911132346,false
XRPUSDT,D1,101,189,0.11788619069994857,0.01718578916715201,0.1190215492137449,0.2155387303436226,false,-0.06755406975587687,-0.14704950495049504,-0.0366919044845661,0.027860221316249267,false
LINKUSDT,D1,98,188,0.026515948459983802,0.026900480400012992,0.1418753068237604,0.3155340486710148,true,-0.05011826661311197,-0.03227052770499015,0.05767977022311768,0.1584421959974243,true
ADAUSDT,D1,99,186,0.19860235003092144,0.003868274582560296,0.18995052566481138,0.35876004947433515,false,-0.03156462585034013,-0.021369820655534937,0.06464440321583179,0.25708101422387136,true
1000LUNCUSDT,D1,53,122,0.03386550556361877,-0.07575794226737623,0.20646071707381786,0.3044871794871795,false,-0.05491049830672472,-0.1800995827567735,-0.08313342876686597,0.3113852604418641,false
INJUSDT,D1,41,246,0.04407665505226482,-0.3841027874564461,-0.007404181184668991,0.3361498257839722,false,-0.02282229965156795,-0.37351916376306626,-0.04651567944250872,0.18771777003484325,false
BNBUSDT,D1,100,166,0.17156915691569155,0.11536153615361536,0.199045904590459,0.24995068129308978,false,-0.1908190819081908,-0.08741830664193696,0.09469561292827466,0.21906606380555785,true
DYDXUSDT,D1,65,201,-0.14488636363636365,0.1826486013986014,0.2562937062937063,0.5270104895104896,true,0.1743444055944056,-0.24200174825174825,0.07727272727272727,0.3634615384615385,false
GALAUSDT,D1,87,200,0.09141940657578186,0.01936101188306481,0.2211124881533863,0.3685946271050521,false,0.1501786104833418,-0.14310344827586205,-0.024549828679740468,0.19997448421666542,false
OPUSDT,D1,96,193,0.09309549647314162,0.01858383071079761,0.08122626153011395,0.18546663049376003,false,0.12392837764514379,-0.14128052088985352,0.004869777536625068,0.15344546934346176,false
