key,point,n_grid,env_low,env_high,min_low,max_low,min_high,max_high,sign_low_agree,sign_high_agree,n_cells_low_gt0,low_b1,low_b3,low_b7,arm,symbol,clock,band,metric,model,target
V-MEASURE|DYDXUSDT|H4|DESIGN|oos_ic|ridge_rv20|target_abs_oo,0.013144583974367982,15,-0.1458461323012005,0.11553782552880297,-0.1458461323012005,-0.09432284519797082,0.11098284497941828,0.11553782552880297,true,true,0,-0.09932074904879373,-0.11609660355885541,-0.1458461323012005,V-MEASURE,DYDXUSDT,H4,DESIGN,oos_ic,ridge_rv20,target_abs_oo
V-MEASURE|DYDXUSDT|H4|DESIGN|dmae_vs_uncond|ridge_rv20|target_abs_oo,5.247732082367009,15,-1.8509045822408325,12.438727945620691,-1.8509045822408325,0.8650803861017523,9.458758058251085,12.438727945620691,false,true,5,0.6743366719940438,-0.6101131928762117,-1.8509045822408325,V-MEASURE,DYDXUSDT,H4,DESIGN,dmae_vs_uncond,ridge_rv20,target_abs_oo
V-MEASURE|DYDXUSDT|H4|DESIGN|oos_ic|ridge_rv20|rv_next,0.9575894237717227,15,0.9248892024013421,0.9743174469408794,0.9248892024013421,0.9331751300385244,0.9713319149738693,0.9743174469408794,true,true,15,0.9320112124085972,0.9281363599507862,0.9248892024013421,V-MEASURE,DYDXUSDT,H4,DESIGN,oos_ic,ridge_rv20,rv_next
V-MEASURE|DYDXUSDT|H4|DESIGN|dmae_vs_uncond|ridge_rv20|rv_next,0.008718710679036602,15,0.00688314010516129,0.010581696515974312,0.00688314010516129,0.007494623146648918,0.01001757745500005,0.010581696515974312,true,true,15,0.007451552310939615,0.007011350889270129,0.00688314010516129,V-MEASURE,DYDXUSDT,H4,DESIGN,dmae_vs_uncond,ridge_rv20,rv_next
V-MEASURE|DYDXUSDT|H4|DESIGN|oos_ic|ridge_parkinson|target_abs_oo,-0.012947524550073461,15,-0.1275424500837742,0.09530726464182111,-0.1275424500837742,-0.1100989555710328,0.08062409578202209,0.09530726464182111,true,true,0,-0.1175060821183485,-0.1275424500837742,-0.11402519856901998,V-MEASURE,DYDXUSDT,H4,DESIGN,oos_ic,ridge_parkinson,target_abs_oo
V-MEASURE|DYDXUSDT|H4|DESIGN|dmae_vs_uncond|ridge_parkinson|target_abs_oo,0.9755658377133072,15,-2.89159134920204,4.5310699484433234,-2.89159134920204,-2.0052477612247026,3.9256456479313964,4.5310699484433234,true,true,0,-2.0645084606478314,-2.4887915756363324,-2.89159134920204,V-MEASURE,DYDXUSDT,H4,DESIGN,dmae_vs_uncond,ridge_parkinson,target_abs_oo
V-MEASURE|DYDXUSDT|H4|DESIGN|oos_ic|ridge_parkinson|rv_next,0.31506057069353566,15,0.16723746987462965,0.42266611568307705,0.16723746987462965,0.20333874223258866,0.4036042717729829,0.42266611568307705,true,true,15,0.2015017394559309,0.18156542384320484,0.16723746987462965,V-MEASURE,DYDXUSDT,H4,DESIGN,oos_ic,ridge_parkinson,rv_next
V-MEASURE|DYDXUSDT|H4|DESIGN|dmae_vs_uncond|ridge_parkinson|rv_next,0.0010793576160389132,15,0.0004452405211835838,0.0017576599078403881,0.0004452405211835838,0.0005609579364224399,0.0015842940238775644,0.0017576599078403881,true,true,15,0.0005433771730746035,0.000511936987834761,0.0004452405211835838,V-MEASURE,DYDXUSDT,H4,DESIGN,dmae_vs_uncond,ridge_parkinson,rv_next
V-MEASURE|DYDXUSDT|H4|DESIGN|oos_ic|ridge_gk|target_abs_oo,-0.012863535172135305,15,-0.1238801762508504,0.0918537800998085,-0.1238801762508504,-0.10312219927892587,0.08358279056579238,0.0918537800998085,true,true,0,-0.11808733755451707,-0.1238801762508504,-0.10599089370590843,V-MEASURE,DYDXUSDT,H4,DESIGN,oos_ic,ridge_gk,target_abs_oo
V-MEASURE|DYDXUSDT|H4|DESIGN|dmae_vs_uncond|ridge_gk|target_abs_oo,0.4911337894479349,15,-3.4256984701066857,4.263155049905034,-3.4256984701066857,-2.4870769524998377,3.4483358742024306,4.263155049905034,true,true,0,-2.60814271280312,-2.927575184116273,-3.4256984701066857,V-MEASURE,DYDXUSDT,H4,DESIGN,dmae_vs_uncond,ridge_gk,target_abs_oo
