symbol,clock,band,n_obs,live,shuf_p50,shuf_p95,shuf_sd,shuf_outside_c90,shuf_p,blk_p50,blk_p95,blk_retention,blk_p,blk_above_p95,unr_p50,unr_sd,layer,z_live
XRPUSDT,D1,CONFIRM,289,0.13427395298890346,0.003817662967824046,0.10939985781330776,0.06248195069165522,true,0.024875621890547265,0.053485562582030785,0.14297282046692916,0.39833163015950596,0.06546726636681659,false,0.0009249592331861751,0.05966357468613398,LIVE_INSIDE_DESTROYED_NULL,2.2350151571911776
LINKUSDT,H1,DESIGN,2364,0.25318656967307474,-0.02742681241047869,0.14566840732919706,0.06570834908839165,true,0.004975124378109453,0.06551520418761955,0.09486287899965357,0.2587625570827693,0.0004997501249375312,true,-0.0009655354538422084,0.02052935441499408,COLLAPSED_AS_EXPECTED,12.379936552768127
LINKUSDT,H1,CONFIRM,6866,0.33237859174313356,-0.028048049479380062,0.17168140389278094,0.07299599700761993,true,0.004975124378109453,0.12952584299471798,0.14589524004234938,0.38969369933072345,0.0004997501249375312,true,0.00030443789609207127,0.011807100469216326,COLLAPSED_AS_EXPECTED,28.124953684677358
LINKUSDT,H4,DESIGN,592,0.16109697528794442,-0.023967863395050318,0.15175626699902303,0.08941485199290412,true,0.05472636815920398,0.05290830979677753,0.10965511433590756,0.32842522153013315,0.0009995002498750624,true,-0.0009674365898931789,0.04203321706405448,COLLAPSED_AS_EXPECTED,3.855627125348683
LINKUSDT,H4,CONFIRM,1726,0.28596126648762843,-0.0218264684241701,0.20206729200479367,0.08211112221884229,true,0.014925373134328358,0.14458075185841085,0.17423404937305417,0.5055955781503222,0.0004997501249375312,true,0.0002829299980911705,0.024160837076703166,COLLAPSED_AS_EXPECTED,11.824024787824905
LINKUSDT,D1,DESIGN,98,0.026515948459983806,-0.005361844831653373,0.14494832609707425,0.09837273706314892,false,0.34328358208955223,0.05431975976894975,0.2100223782108907,2.048569367636451,0.6071964017991005,false,-0.00011476005584989385,0.1003885853592017,LIVE_INSIDE_DESTROYED_NULL,0.2652762604487952
LINKUSDT,D1,CONFIRM,285,0.2273523287584618,-0.007888387654204899,0.13507054371673302,0.08297877096415131,true,0.004975124378109453,0.10786481411571655,0.190358656030972,0.4744390114882513,0.009995002498750625,true,-0.000980913209592352,0.05888121973704991,COLLAPSED_AS_EXPECTED,3.877861956456376
ADAUSDT,H1,DESIGN,2376,0.2677870562761975,-0.019985412016016398,0.14514052364672625,0.07089020487539269,true,0.004975124378109453,0.08675276655006622,0.1138452724391562,0.3239617618432939,0.0004997501249375312,true,-0.00002382014757294113,0.020658075616094073,COLLAPSED_AS_EXPECTED,12.963979869215272
ADAUSDT,H1,CONFIRM,6896,0.3772623075842805,-0.021821797197852422,0.1865419901778373,0.081373366627151,true,0.004975124378109453,0.165848414527692,0.18119862784353963,0.4396103485388384,0.0004997501249375312,true,-0.00002962437811992856,0.012138587162947847,COLLAPSED_AS_EXPECTED,31.082030132308688
ADAUSDT,H4,DESIGN,597,0.2178143469113028,-0.010369555738641456,0.16188479454229063,0.08431400679862794,true,0.01990049751243781,0.08206341837759146,0.139460596595171,0.37675855397628555,0.0004997501249375312,true,-0.000047909746947701734,0.04175906103922834,COLLAPSED_AS_EXPECTED,5.2171253672009374
ADAUSDT,H4,CONFIRM,1723,0.34069054444965297,-0.03454827126684902,0.2154804737930922,0.09386210366669029,true,0.009950248756218905,0.1845560246669376,0.21368002477686898,0.5417116138784156,0.0004997501249375312,true,0.002245559698646751,0.02412829176340194,COLLAPSED_AS_EXPECTED,14.026893742405889
ADAUSDT,D1,DESIGN,99,0.19860235003092144,-0.020321583178726035,0.2195299938157081,0.15004244787861296,false,0.06467661691542288,0.14816326530612245,0.2735163883735312,0.7460297689481223,0.25837081459270367,false,-0.0008101422387136672,0.10272396706215417,LIVE_INSIDE_DESTROYED_NULL,1.9412460205024848
ADAUSDT,D1,CONFIRM,284,0.22297160309822486,-0.02838616224031936,0.17620917994483545,0.09741726320762355,true,0.009950248756218905,0.11157590886587894,0.1937049037763872,0.5004041201458592,0.01249375312343828,true,-0.0020656578488973646,0.05906237440989232,COLLAPSED_AS_EXPECTED,3.8101627846074346
1000LUNCUSDT,H1,DESIGN,1019,0.20135550604030222,-0.005298614516347099,0.09848544991722905,0.05086710761476427,true,0.009950248756218905,0.02066444350574531,0.07025105018529354,0.1026266622260095,0.0004997501249375312,true,0.001263452955740874,0.031036416639572895,COLLAPSED_AS_EXPECTED,6.447008860856525
